Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P029191,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.923,36.168
P029192,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.912,36.163
P029193,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.848,36.037
P029194,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.87,36.036
P029195,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.879,36.015
P029196,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.867,36.011
P029197,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.917,36.011
P029198,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.916,35.999
P029199,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.902,35.996
P029200,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.878,35.978
P029201,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.871,35.97
P029202,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.855,35.982
P029203,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.837,35.986
P029204,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.826,35.989
P029205,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.816,35.993
P029206,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.799,36.005
P029207,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.801,35.989
P029208,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.811,35.955
P029209,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.82,35.946
P029210,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.857,35.957
P029211,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.888,35.954
P029212,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.901,35.957
P029213,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.897,35.944
P029214,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.902,35.934
P029215,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.885,35.926
P029216,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.881,35.922
P029217,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.867,35.914
P029218,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.874,35.897
P029219,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.889,35.896
P029220,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.918,35.913
P029221,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.91,35.902
P029222,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.92,35.897
P029223,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.921,35.943
P029224,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.734,35.859
P029225,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.724,35.867
